"","Name","EIN","Tax Class/Subsection","Shorthand","Type","Sub-Type","Parent Org","Website","Mission/Description","Network Founder","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Methods","Category of Work","Funder Type","FLAG FOR REVIEW","Reason for flag/review","Self-Identified Ideology","Goals","Network Membership","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","lat","long"
"165","Texas Unitarian Universalist Justice Ministry Advocacy Network (TXUUJM)","46-3560205","501(c)(4)","TXUUJM","Practitioner Organization",NA,NA,"https://txuujm.org/?fbclid=IwZXh0bgNhZW0CMTAAAR2ETkpZsiYnsaWvW2b74LyK3e8udxxq12Rm1R0l8_AZUJpa-so5Jjua8jA_aem_AcVLgWM7vqpp9vHMKfEYE3THMktsl9j6ifQsdFIGVnphVnAdw-EFHBkk2Z4NrJlzJ_nXK97sdGsCRwzUSKui34K5","TXUUJM educates and organizes Texas UUs, congregations, and partners to advocate effectively for UU principles in public policy and the public square.",NA,"Erin Walter","24348 Cherry Spg","San Antonio","TX","78255","txuujm@gmail.com",NA,"State - single","Advocacy,Organizing","Faith-Based Efforts",NA,NA,NA,NA,"Faith-Based Organizing/Engagement/Advocacy,Social Justice",NA,NA,NA,NA,29.4246002,-98.4951405
"166","The Texas Democracy Foundation (a.k.a. The Texas Observer)","74-2619883","501(c)(3)","a.k.a. The Texas Observer","Practitioner Organization","Journalism/Media",NA,"https://www.texasobserver.org/","We will serve no group or party but will hew hard to the truth as we find it and the right as we see it. We are dedicated to the whole truth, to human values above all interests, to the rights of humankind as the foundation of democracy. We will take orders from none but our own conscience, and never will we overlook or misrepresent the truth to serve the interests of the powerful or cater to the ignoble in the human spirit.",NA,"Loren Lynch","54 Chicon St","Austin","TX","78702","business@texasobserver.org","(512) 477-0746","State - single","Print and Digital Publication","Civic Media",NA,NA,NA,NA,"Civic Journalism",NA,NA,NA,NA,30.2711286,-97.7436995
"167","This Is Project Texas","86-2739274","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.thisisprojecttexas.org/","Project Texas is a nonpartisan effort launched to advance statewide voter education & access, empower community engagement, and to promote the general welfare of all current and future residents of Texas.",NA,"Kendall Joseph","2211 N Carroll Ave","Dallas","TX","75204","impact@thisisprojecttexas.org",NA,"State - single","Deliberation,Dialogue,Cross-sector collaboration","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,32.7762719,-96.7968559
"168","Toolbank USA","46-1152387","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.houstontoolbank.org/","The Houston Community ToolBank is a nonprofit tool lending program that provides fellow not-for-profit organizations (and disaster volunteers) with year-round access to an inventory of tools for use in volunteer projects and facility and environmental maintenance. We provide tools to enhance the charitable sector's capacity to serve, scale, and facilitate hands-on volunteerism in the greater Houston area. Access to ToolBank tools eliminates the need for agencies to incur the expense of purchasing, insuring, repairing, and storing tools, reducing the costs associated with service projects and allowing these agencies to focus more of their resources on their mission.",NA,"Marly Maskill","1215 GAZIN ST 1215","HOUSTON","TX","77020",NA,"(713) 674-0262","Community/Local - single","Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism",NA,NA,NA,NA,29.7589382,-95.3676974
"169","Tree Folks","74-2569827","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.treefolks.org/","TreeFolks empowers Central Texans to build stronger communities by planting and caring for trees.",NA,"Andrew Smiley","PO Box 1395","Del Valle","TX","78617","admin@treefolks.org","(512) 443-5323","State - single","Education,Service and Volunteerism","Civic Associations",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement,Community Engagement and Community Building",NA,NA,NA,NA,NA,NA
"170","True Texas Education Corporation","85-4347442","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://truetexaseducation.com/","THE CORPORATION IS ORGANIZED FOR EDUCATIONAL ACTIVITIES. 1. TO TEACH, CONTINUOUSLY TRAIN, AND INSPIRE TEXANS TO ENGAGE IN GOVERNMENTS AT EVERY LEVEL. 2. TO HELP TEXANS BECOME ACTIVE PARTICIPANTS IN THEIR SELF GOVERNANCE THAT IS ESTABLISHED IN OUR DECLARATION OF INDEPENDENCE, BY EMPHASIS ON HISTORIC BACKGROUND, UNDERSTANDING GOVERNMENTAL PROCESSES, ORIG DOCUMENTS, AND ANALYZING CURRENT EVENTS AS THEY RELATE TO TEXAS CITIZENS.",NA,NA,"2029 WINTER SUNDAY WAY","ARLINGTON","TX","76012","admin@truetexaseducation.com",NA,"State - single","Education","Civic Education / Learning",NA,NA,NA,NA,"Civic Knowledge",NA,NA,NA,NA,32.7355816,-97.1071186
"171","True the Vote","27-2860095","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://truethevote.org/","To foster a resilient republic through election integrity across the nation; 

To safeguard the electoral process through renewed citizen engagement – promoting transparency, advocating for access, and ensuring every citizen's right to a free and fair vote. 

To rebuild the trust that has been lost in our electoral system, which is fundamental to empowering all citizens and securing the foundation of our republic.",NA,NA,"PO Box 3109","Houston","TX","77253",NA,NA,"National","Education","Electoral Reform",NA,NA,NA,NA,"Election Protection,Voting Rights and Voter Participation",NA,NA,NA,NA,29.7589382,-95.3676974
"172","Values Through History","76-0623765","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://valuesthroughhistory.org/","Values Through History’s mission is to immerse upper elementary students in an exciting, multi-disciplinary learning experience set in the Revolutionary War and Founding periods that will instill knowledge of the nation’s founding and the essential civic principles and behaviors upon which its government and society depend as it unifies them as Americans, so they are equipped and inspired to go on together to become responsible citizens.",NA,NA,"4899 Montrose Blvd Apt 1814","Houston","TX","77006",NA,"(713) 533-1776","National","Curriculum Development,Education","Civic Education / Learning",NA,NA,NA,NA,"Civic Knowledge,Youth Engagement and Leadership",NA,NA,NA,NA,29.7589382,-95.3676974
"173","Volunteer Houston","23-7382611","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://volunteerhouston.org/","Connect individuals, groups, and companies with nonprofit agencies to transform the greater Houston community for good through volunteerism.",NA,"Andrea  Shiloh","PO Box 66157","Houston","TX","77266","info@volunteerhouston.org","(713) 533-3190","Community/Local - multiple","Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism",NA,NA,NA,NA,29.7589382,-95.3676974
"174","Volunteernow","75-1364145","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.volnow.org/","VolunteerNow unites people with heart and empowers them with ideas, goods, and community so that together we can create the change we want to see in the world.",NA,"Rachel Currie Triska","2800 Live Oak St","Dallas","TX","75204","info@volnow.org","(214) 826-6767","National","Service and Volunteerism,Professional Training,Youth Engagement","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism,Community Engagement and Community Building",NA,NA,NA,NA,32.7762719,-96.7968559
"175","We Got This TX","87-1255180","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://wegotthistx.com/","We Got This TX is on a mission to train, support, and create opportunities for Black, Indigenous, and women of color (BIWOC) to participate in civic life and the Texas legislative process. We endeavor to create a pipeline of opportunity because we believe that the Black, Indigenous, and women of color who lead, serve, and organize our communities deserve equitable representation in every aspect of civic life and the Texas legislative process.

We are fiercely committed to sparking transformative change for a more just and representative Texas. We Got This TX believes that all Texas communities will be better served when there is equitable access to civic participation and representation in the Texas legislative process. We also believe that it is the role of We Got This TX to provide the tools that Black, Indigenous, and women of color need to participate in civic life and engage in the Texas legislative process so that they can speak truth to power. Our lived experience is expertise that belongs in the halls of power.

We are a nonpartisan organization. We do not take positions on issues, policies, or candidates. We support program participants in engaging civically and unapologetically voicing their priorities in their own words and on their own terms. The views expressed by our program participants are their own and do not constitute the views or positions of We Got This TX.",NA,NA,"16216 Chianti Cv","Pflugerville","TX","78660","info@wegotthistx.com",NA,"State - single","Advocacy,Education,Leadership Training,Narrative Storytelling,Community-Building / Networking","Voter Engagement,Organizing & Advocacy",NA,NA,NA,NA,"Diversity & Inclusion,Voter Engagement/Registration/Education,Election Protection",NA,NA,NA,NA,30.4393696,-97.6200043
"176","White Rock Center of Hope","75-2248813","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://whiterockcenterofhope.org/","White Rock Center of Hope cultivates hope through basic needs and personalized empowerment.",NA,"Greg Smith","PO Box 180358","Dallas","TX","75218",NA,"(214) 324-8996","Community/Local - single","Food Justice and Access,Funding,Professional Training,Education","Civic Associations,Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism,Community Engagement and Community Building",NA,NA,NA,NA,32.7762719,-96.7968559
"177","Wichita Falls Citizens Police Academy Association","75-2917555","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.wichitafallstx.gov/1067/Citizen-Police-Academy-Association","Provide fund for the Witchita Falls Police Department through funding and donations",NA,NA,"710 Flood St","Wichita Falls","TX","76301","brian.arias@wfpd.net","(940) 720-5019","Community/Local - single","Education,Funding,Service and Volunteerism","Civic Associations",NA,NA,NA,NA,"Safety and Security,Service & Volunteerism",NA,NA,NA,NA,33.9004572,-98.5020777
"178","William C Velasquez Institute Inc (WCVI)","74-2378901","501(c)(3)","WCVI","Practitioner Organization",NA,NA,"https://wcvi.org/","The William C. Velásquez Institute (WCVI) is a tax-exempt, non-profit, non-partisan public policy analysis organization chartered in 1985. WCVI (originally the Southwest Voter Research Institute) is a spinoff of the legacy organization Southwest Voter Registration Education Project (SVREP) founded by the late Latino icon Willie Velasquez. Willie correctly foresaw that Latino voters would inevitably overcome their political exclusion and needed to develop their policy and governance capacity.",NA,NA,"320 El Paso St","San Antonio","TX","78207","info@wcvi.org","(210) 223-2918","National","Research,Policy Advocacy and Analysis,Advocacy,Economic Development,Dialogue","Civic Research",NA,NA,NA,NA,"Policy Development",NA,NA,NA,NA,29.4246002,-98.4951405
"179","World Malayalee Council America Region","75-2805503","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://wmcamerica.org/","World Malayalee Council aims at creating a dynamic link between the Malayalee Diaspora and the motherland to enhance and empower the Social Capital of the community, inculcating the core values of Diversity, and Excellence.",NA,NA,"2614 Chesapeake Dr","Garland","TX","75043","wmcar1995@gmail.com","(973) 337-7238","National","Service and Volunteerism,Community-Building / Networking","Civic Associations",NA,NA,NA,NA,"Service & Volunteerism,Immigrant Integration,Community Engagement and Community Building",NA,NA,NA,NA,32.912624,-96.6388833
"180","Young Americans for Liberty","26-2417908","501(c)(4)",NA,"Practitioner Organization","Campus Initiative",NA,"https://yaliberty.org/","Young Americans for Liberty (YAL) is the most active and effective libertarian youth organization advancing liberty on campus and in American electoral politics. Our four-step mission is to identify, educate, train, and mobilize youth activists to make liberty win.",NA,NA,"500 N Capital of Texas Hwy","Austin","TX","78746","contact@yaliberty.org","(512) 637-5217","National","Membership,Education,Youth Engagement,Leadership Training,Advocacy","Civic Education / Learning",NA,NA,NA,NA,"Youth Engagement and Leadership,Leadership Development for Healthy Democracy",NA,NA,NA,NA,30.2711286,-97.7436995
"181","University of Texas at Austin","74-6000203","501(c)(3)",NA,"Academic Institution,Parent Only",NA,NA,"https://www.utexas.edu/","The mission of The University of Texas at Austin is to achieve excellence in the interrelated areas of undergraduate education, graduate education, research and public service.",NA,NA,"110 Inner Campus Drive","Austin","TX","78712",NA,"(512) 471-3434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2711286,-97.7436995
"182","Join Us For Justice, The El Paso Chapter of Americans United (Join Us for Justice)","46-0814927","501(c)(3)","Join Us for Justice","Practitioner Organization","Chapter",NA,"https://joinusforjustice.org/home","An El Paso, Texas-based, non-profit, non-denominational organization formed to educate the public about the dangers of faith-based legislation and the consequences of breaching the line between church and state, and to serve as a contact for those who seek information and expertise regarding separation issues.",NA,NA,"230 Thunderbird Dr.","El Paso","TX","79912",NA,"(915) 525-8543","Community/Local - single","Dialogue,Education,Advocacy","Organizing & Advocacy",NA,NA,NA,NA,"Civil and Political Rights,Interfaith Organizing/Engagement",NA,NA,NA,NA,31.7601164,-106.4870404
"183","Coalition For Environment, Equity, And Resilience",NA,NA,NA,"Coalition",NA,NA,"https://ceerhouston.org/home","To raise awareness of the connections between pollution, place and the public's health.",NA,"Stefania Tomaskovic","2010 North Loop West, Suite 103","Houston","TX","77018","Hello@ceerhouston.org","(713) 331-9913","Community/Local - multiple",NA,"Organizing & Advocacy",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement",NA,NA,NA,NA,29.7589382,-95.3676974
"184","Every Texan","74-2898197","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://everytexan.org/","At Every Texan (formerly Center for Public Policy Priorities), our goal is to make Texas the best state for people and families to live. Texans love to contribute to and share in the prosperity of our great state. But unfortunately, too many people lack fair access to the conditions necessary to thrive—like a quality education, affordable healthcare, and a good job. Social justice requires public policy. Systemic policy solutions are one of the most effective ways to address current inequities so that Texans of all backgrounds can thrive. Every Texan strengthens public policy to expand opportunity and equity for Texans.",NA,"Marisa Bono","7020 Easy Wind Drive, Suite 200","Austin","TX","78752","info@everytexan.org","(512) 320-0222","State - single","Policy Advocacy and Analysis,Research,Lobbying","Civic Research",NA,NA,NA,NA,"Policy Development,Public Health,Racial Equity,Economic Advocacy/Justice/Reform",NA,NA,NA,NA,30.2711286,-97.7436995
"185","Indian America Coalition of Central Texas","84-3437559","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.iacctaustin.org/","Our mission is to promote South Asian culture, heritage, and values in Central Texas by organizing cultural events and workshops, providing educational resources, and empowering our community through various outreach programs.",NA,"Shweta Padmanabha","P.O. Box 9133","Austin","TX","78766","iacctaustin@gmail.com",NA,"Community/Local - single","Education,Leadership Training,Dialogue,Service and Volunteerism","Organizing & Advocacy",NA,NA,NA,NA,"Community Organizing,Diversity & Inclusion,Voter Engagement/Registration/Education,Immigrant Integration",NA,NA,NA,NA,30.2711286,-97.7436995
"186","Faith in Texas (Faith in TX)","47-3005234","501(c)(3)","Faith in TX","Practitioner Organization",NA,NA,"https://faithintx.org/","Faith in TX organizes and builds power with “the people” so that we “the people” will have greater access to the power to govern our shared society.",NA,NA,"3800 Commerce St, Suite 307","Dallas","TX","75726","fhussain@faithintx.org","(972) 803-8783","State - single","Leadership Training,Issue Campaigns,Advocacy,Narrative Storytelling,Organizing,Dialogue","Faith-Based Efforts",NA,NA,NA,NA,"Interfaith Organizing/Engagement,Social Justice,Leadership Development for Healthy Democracy,Transparency and Addressing Mis/Disinformation","MVP",NA,NA,NA,32.7762719,-96.7968559
"187","Mi Familia Vota Texas",NA,"501(c)(4)",NA,"Practitioner Organization",NA,"Mi Familia Vota","https://www.mifamiliaenaccion.org/texas/","Mi Familia En Acción is a national nonprofit organization that works to build Latino political power through civic participation. The change starts with you. Join our causes.",NA,"Dayana  Iza","7500 Bellaire Blvd, Houston, TX 77036","Houston","TX","77036","txinfo@Mifamiliavota.Org","(602) 263-2036","State - single","Advocacy,Issue Campaigns,Education,Youth Engagement,Leadership Training","Organizing & Advocacy,Voter Engagement",NA,NA,NA,NA,"Youth Engagement and Leadership,Immigrant Integration,Community Organizing,Voter Engagement/Registration/Education","MVP",NA,NA,NA,29.7589382,-95.3676974
"188","PODER Austin","74-2682311","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.poderaustin.org/","PODER (People Organized in Defense of Earth and Her Resources) is a women led, people of color grassroots social justice organization formed in 1991 to increase the participation of residents of East Austin in decisions related to the economic development and environmental protection of our communities. Our mission is to redefine environmental issues as social and economic justice issues, and collectively set our own agenda to address these concerns as basic human rights.  We seek to empower our communities through education, advocacy and action.",NA,"Susana Almanza","P.O. Box 6237","Austin","TX","78762-6237","poder.austin@gmail.com",NA,"Community/Local - single","Advocacy,Issue Campaigns,Public Petition,Youth Engagement","Organizing & Advocacy",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement,Economic Advocacy/Justice/Reform,Social Justice","MVP",NA,NA,NA,30.2711286,-97.7436995
"189","Texas Campaign for the Environment","74-2891025","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.texasenvironment.org/","Empowering Texans to fight pollution through sustained grassroots organizing campaigns that shift corporate and governmental policy
We envision a Texas free from pollution",NA,"Robin Schneider","PO Box 42278","Austin","TX","78704",NA,"(512) 326-5655","Community/Local - multiple,State - single","Research,Advocacy,Organizing","Organizing & Advocacy",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement,Community Organizing","MVP",NA,NA,NA,30.2711286,-97.7436995
"190","Texas Freedom Network (TFN)","74-2736849","501(c)(4)","TFN","Practitioner Organization",NA,NA,"https://tfn.org/","TFN is a statewide non-partisan, grassroots organization building an informed and effective movement working toward equality and social justice.",NA,"Val Benavidez","PO Box 1624","Austin","TX","78767","tfn@tfn.org","(512) 322-0545","State - single","Advocacy,Research,Print and Digital Publication","Organizing & Advocacy",NA,NA,NA,NA,"Social Justice,Civil and Political Rights,Interfaith Organizing/Engagement","MVP",NA,NA,NA,30.2711286,-97.7436995
"191","Texas Freedom Network Education Fund (TFNEF)","74-2788317","501(c)(3)","TFNEF","Practitioner Organization",NA,NA,"https://tfn.org/","TFNEF is a statewide non-partisan, grassroots organization that is building an informed and effective movement for equality and social justice.",NA,"Val Benavidez","PO BOX 1624","AUSTIN","TX","78767-1624","tfn@tfn.org","(512) 322-0545","State - single","Advocacy,Education,Print and Digital Publication,Funding","Organizing & Advocacy",NA,NA,NA,NA,"Social Justice,Civil and Political Rights,Interfaith Organizing/Engagement",NA,NA,NA,NA,30.2711286,-97.7436995
"192","Texas Rising",NA,NA,NA,"Practitioner Organization","Campus Initiative","Texas Freedom Network (TFN)","https://txrising.org/","Texas Rising – a project of the Texas Freedom Network (TFN) – is building the power of young people in our communities and at the ballot box. Our program organizes and builds power with young people of color in a multi-issue, intersectional social justice framework.","Texas Rising Network",NA,"PO Box 1624","Austin","TX","78767","tfn@tfn.org",NA,"State - single","Issue Campaigns,Leadership Training,Organizing","Organizing & Advocacy",NA,NA,NA,NA,"Community Organizing,Voter Engagement/Registration/Education,Youth Engagement and Leadership","MVP",NA,NA,NA,30.2711286,-97.7436995
"193","Transgender Education Network of Texas (TENT)","26-3243093","501(c)(3)","TENT","Practitioner Organization",NA,NA,"https://www.transtexas.org/","TENT is an organization dedicated to furthering gender-diverse equality in Texas. We work to accomplish this through education and networking in both public and private forums. Through our efforts, we strive to halt discrimination through social, legislative, and corporate education.",NA,NA,"11611 W. Airport Blvd., #180","Meadows Place","TX","77477","info@transtexas.org","(877) 532-6789","State - single","Policy Advocacy and Analysis,Advocacy,Community-Building / Networking,Food Justice and Access,Mental Health","Organizing & Advocacy",NA,NA,NA,NA,"Social Justice,Civil and Political Rights","MVP",NA,NA,NA,29.6513439,-95.5880005
"194","Texas Organizing Project (TOP)","27-1482075","501(c)(4)","TOP","Practitioner Organization",NA,NA,"https://organizetexas.org/","The mission of the Texas Organizing Project is to bring together Black and Latino Texans so that together we can fight for real change by organizing our neighborhoods, investing our time and energy in causes relevant to our communities, and collectively taking ownership over TOP’s agenda, strategy and direction. With a seasoned and committed organizing staff, a diverse membership and leaders from all walks of life, TOP has already made a huge impact and is positioned to continue to grow.",NA,"Brianna  Brown,Michelle Tremillo","PO BOX 120296","SAN ANTONIO","TX","78212","grants@organizetexas.org","(210) 900-2901","State - single,Community/Local - multiple","Issue Campaigns,Organizing,Communications,Print and Digital Publication,Advocacy","Organizing & Advocacy",NA,NA,NA,NA,"Diversity & Inclusion,Community Organizing,Racial Equity","MVP",NA,NA,NA,29.4246002,-98.4951405
"195","Youth Rise Texas (YRTX)","83-0663313",NA,"YRTX","Practitioner Organization",NA,NA,"https://youthrisetx.org/","Youth Rise Texas works to create the conditions for young people to rise from systems of oppression. Our leadership pipeline works to put youth at the forefront of healing our communities and winning demands that safeguard or realize rights. That work includes programs that aim to end the systems that criminalize people of color and those who are undocumented.",NA,"Darriana Donegan","P.O. Box 144411","Austin","TX","78714","info@youthrisetx.org","(512) 843-2319","State - single","Advocacy,Community-Building / Networking,Mental Health,Youth Engagement,Dialogue,Organizing,Leadership Training","Organizing & Advocacy",NA,NA,NA,NA,"Youth Engagement and Leadership,Social Justice,Healing Justice,Leadership Development for Healthy Democracy,Civil and Political Rights","MVP",NA,NA,NA,30.2711286,-97.7436995
"196","True Texas Project","27-2998683","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://truetexasproject.com/","In the spirit of the original Texians who valiantly defended their families, their lands, and their liberties, True Texas Project exists to educate and motivate citizen engagement in all levels of government.",NA,"Julie McCarty","2300 Valley View Ln, Suite242","Irving","TX","75062","truetexasproject@gmail.com",NA,"State - single","Education,Leadership Training,Online Video","Civic Education / Learning,Voter Engagement",NA,NA,NA,NA,"Civic Knowledge,Voter Engagement/Registration/Education",NA,NA,NA,NA,32.8295183,-96.9442177
