Name,EIN,Tax Class/Subsection,Shorthand,Type,Sub-Type,Parent Org,Website,Mission/Description,Network Founder,People,Street Address,City,State,Zip Code,General Contact Email,Org Phone,Location Scope,Methods,Category of Work,Funder Type,FLAG FOR REVIEW,Reason for flag/review,Self-Identified Ideology,Goals,Network Membership,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude,Goal Created by AI
Jolt Initiative,82-1708759,501(c)(3),,Practitioner Organization,,,https://www.joltinitiative.org/,Jolt Initiative believes young Latinos will transform Texas through the power of their vote. Together we are building a democracy that represents the voices and values of our diverse state.,,,PO Box 4185,Austin,TX,78765,info@jolttx.org,,State - single,"Organizing,Youth Engagement,Leadership Training,Research",Voter Engagement,,,,Progressive,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Civil and Political Rights",,,,,30.2711286,-97.7436995,
Just Liberty,81-3982567,501(c)(4),,Practitioner Organization,,,https://justliberty.org/,"AT JUST LIBERTY, WE WANT A CRIMINAL JUSTICE SYSTEM WHICH PROTECTS FAMILIES INSTEAD OF DISRUPTING THEM, TREATS EVERYONE FAIRLY, REWARDS PERSONAL RESPONSIBILITY, AND PROMOTES LIBERTY, JUSTICE, AND RESPECT FOR HUMAN DIGNITY.",,,PO Box 13551,Austin,TX,78711,,,State - single,"Public Petition,Podcasts/Radio,Advocacy",Organizing & Advocacy,,,,,"Civil and Political Rights,Judicial Integrity/Neutrality/Reform",,,,,30.2711286,-97.7436995,
League of Women Voters Austin Area,81-3447172,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvaustin.org/,"Mission: Empowering Voters. Defending Democracy.

Vision: We envision a democracy where every person has the desire, the right, the knowledge, and the confidence to participate.

Value: We believe in the power of women to form a more perfect democracy.",,Jessica Foreman,3908 Avenue B  Austin Tx 78701-1022,Austin,TX,78751, lwvaustin@lwvaustin.org,(512) 451-6710,Community/Local - single,"Education,Advocacy,Organizing,Dialogue,Service and Volunteerism",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Civic Forums for Discussion of Public Issues,Transparency and Addressing Mis/Disinformation",,,,,30.2711286,-97.7436995,
LEAGUE OF WOMEN VOTERS OF TEXAS,74-6060249,501(c)(3),,Practitioner Organization,Chapter,,https://lwvtexas.org/,"MISSION
Empowering Voters. Defending Democracy.

VISION
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

VALUE
We believe in the power of women to create a more perfect democracy.",,Joyce LeBombard,"1212 Guadalupe Street, #107",Austin,TX,78701,,(512) 472-1100,State - single,"Advocacy,Policy Advocacy and Analysis,Communications",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion",Fair Maps Texas,,,,30.2711286,-97.7436995,
League of Women Voters of Texas Education Fund,74-6076962,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvtexas.org/#gsc.tab=0,"MISSION
Empowering Voters. Defending Democracy.

VISION
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

VALUE
We believe in the power of women to create a more perfect democracy.",,Joyce LeBombard,1212 Guadalupe  Austin Tx 78701-1837,Austin,TX,78701,,(512) 472-1100,State - single,,Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion",,,,,30.2711286,-97.7436995,
Lone Star Association of Charitable Clinics,331115138,,,,,,,,,,,Austin,TX,78705,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Organizers Institute South and West IAF,81-1555941,501(c)(3),,Practitioner Organization,,,https://www.organizersinstitute.com/,The Organizers Institute exists to strengthen organizing and develop organizers in the South & West region of the Industrial Areas Foundation.,,,704 E Wonsley Dr Ste 200,Austin,TX,78753,,,Community/Local - multiple,"Education,Leadership Training",Civic Education / Learning,,,,,"Leadership Development for Healthy Democracy,Community Organizing",,,,,30.2711286,-97.7436995,
Our Vote Texas,82-2522778,,,Practitioner Organization,,,https://ourvotetexas.org/,,,,PO Box 92644,Austin,TX,78709,,,,Advocacy,Voter Engagement,,,,,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation",Fair Maps Texas,,,,,,
PODER Austin, 74-2682311,501(c)(3),,Practitioner Organization,,,https://www.poderaustin.org/,"PODER (People Organized in Defense of Earth and Her Resources) is a women led, people of color grassroots social justice organization formed in 1991 to increase the participation of residents of East Austin in decisions related to the economic development and environmental protection of our communities. Our mission is to redefine environmental issues as social and economic justice issues, and collectively set our own agenda to address these concerns as basic human rights.  We seek to empower our communities through education, advocacy and action.  ",,Susana Almanza,P.O. Box 6237,Austin,TX,78762-6237,poder.austin@gmail.com,,Community/Local - single,"Advocacy,Issue Campaigns,Public Petition,Youth Engagement",Organizing & Advocacy,,,,,"Environmental Protection through Stakeholder and Citizen Engagement,Economic Advocacy/Justice/Reform,Social Justice",MVP,,,,30.2711286,-97.7436995,
PoliChic Engagement Fund,84-5178945,501(c)(3),,Practitioner Organization,,,https://www.polichic.com/,"The PoliChic Engagement Fund, otherwise known as PoliChic Texas, is a nonpartisan 501(c)(3) organization working to engage Texas women in elections and issue advocacy. Founded in 2019, PoliChic Texas has volunteers actively engaged to remind hard-to-count households to complete their Census, educate voters eligible for mail-in voting, and registered voters about the upcoming runoff elections. Our volunteers consist of women from various ethnic, socioeconomic, and career backgrounds.

Our model is built around creating hyperlocal civic clubs, managed by women leading in their own community and engaging with volunteers. Volunteers are often friends, their teenage children, boyfriends, girlfriends, wives, husbands -- whomever they define as their community. The goal is to educate and train women through their real-life experiences about how to have the communities and representation they desire. We do this by getting them engaged.

PoliChic envisions a world where Texas women work together to lead voter engagement, education, and policy engagement in hyperlocal civic (engagement) clubs. We seek to establish a PoliChic-led civic engagement club in every Texas community.",,,600 Congress Ave Fl 14,Austin,TX,78701,,,"State - single,Community/Local - multiple","Education,Community-Building / Networking,Service and Volunteerism",Civic Associations,,,,,"Civic Forums for Discussion of Public Issues,Community Engagement and Community Building,Voter Engagement/Registration/Education",MVP,,,,30.2711286,-97.7436995,
Progress Texas,80-0687741,501(c)(4),,Practitioner Organization,Journalism/Media,,https://progresstexas.org/,"Progress Texas is a rapid response media organization promoting progressive messages and actions. While campaigns come and go, we’re the permanent home for progressive media and action in our state.",,Kathleen Thompson,PO Box 162922,Austin,TX,78716,social@progresstexas.org,(512) 814-6252,State - single,"Podcasts/Radio,Print and Digital Publication",Civic Media,,,,,Civic Journalism,,,,,30.2711286,-97.7436995,
Projecttxred,82-2476513,501(c)(4),,Practitioner Organization,,,https://www.projectredtx.com/,"#ProjectRedTX was founded in 2018 as a focused effort to recruit and support candidates at the local level. Numerous Texas counties that historically voted for Democrats saw Republican victories at the top of the ticket that year, yet few Republicans were elected locally. In many of these cases, no Republican candidates had even filed.

Today, #ProjectRedTX supports and highlights a robust network of candidates who are running for county-level offices. These positions represent hands-on officials who have the opportunity to make a difference in the everyday lives of their friends, neighbors, and local communities.",,Wayne Hamilton,815 Brazos St Ste 500a,Austin,TX,78701,info@projectredtx.com,,State - single,Leadership Training,Civic Education / Learning,,,,,"Leadership Development for Healthy Democracy,Network-Building",,,,,30.2711286,-97.7436995,
Senate Hispanic Research Council,74-2724063,501(c)(3),,Practitioner Organization,,,https://www.tshrc.org/,The Senate Hispanic Research Council is a 501(c)(3) nonprofit organization dedicated to strengthening the next generation of young leaders in Texas. We advance our mission through the Senator Gregory Luna Legislative Scholars and Fellows Program.,,,1108 Lavaca St Ste 110 # 236,Austin,TX,78701,sarah@tshrc.org,(512) 499-8606,State - single,"Education,Funding",Civic Education / Learning,,,,,"Youth Engagement and Leadership,Diversity & Inclusion",,,,,30.2711286,-97.7436995,
Somos Tejas,,501(c)(4),,Practitioner Organization,,,https://somostejas.org/,"Who We Are

Advocates, activists, organizers, public servants, educators, and students committed to creating a new culture of civic engagement that energizes and empowers the Latino community.

Our Vision

A Texas where our gente owns and exerts their civic power in every aspect of decision making, realizing a more reflective democracy that demonstrates dignity and respect for all.",,,"815 Brazos St., Ste. 500",Austin,TX,78701,,,,"Advocacy,Community-Building / Networking",Organizing & Advocacy,,,,,"Immigrant Integration,Diversity & Inclusion,Social Justice",,,,,,,
Texas Campaign for the Environment,74-2891025,501(c)(4),,Practitioner Organization,,,https://www.texasenvironment.org/,"Empowering Texans to fight pollution through sustained grassroots organizing campaigns that shift corporate and governmental policy
We envision a Texas free from pollution",,Robin Schneider,PO Box 42278,Austin,TX,78704,,(512) 326-5655,"Community/Local - multiple,State - single","Research,Advocacy,Organizing",Organizing & Advocacy,,,,,"Environmental Protection through Stakeholder and Citizen Engagement,Community Organizing",MVP,,,,30.2711286,-97.7436995,
Texas Campaign for the Environment Fund,74-2808805,501(c)(3),,Practitioner Organization,,,https://www.texasenvironment.org/fund/,"Engaging people and communities through face-to-face public education, grassroots organizing and action-oriented research for a cleaner and healthier Texas.",,Robin Schneider,814 San Jacinto Blvd,Austin,TX,78701,,(512) 326-5658,"Community/Local - multiple,State - single","Research,Advocacy,Organizing",Organizing & Advocacy,,,,,Environmental Protection through Stakeholder and Citizen Engagement,,,,,30.2711286,-97.7436995,
Texas Civil Rights Project (TCRP),,,TCRP,Practitioner Organization,,,https://www.txcivilrights.org/,"We are Texas lawyers and advocates for Texas communities, boldly serving the movement for equality and justice in and out of the courts. We envision a Texas where all communities thrive with dignity and justice and without fear.

TCRP believes that legal advocacy and litigation are critical tools to protect and advance the civil rights of everyone in Texas, particularly our State’s most vulnerable populations, and to effect positive and lasting change to law and policy. We believe that by serving the rising social justice movement in Texas with excellent legal representation and bold strategies, we can respond to the needs of the communities we serve.",,,PO Box 17757,Austin,TX,78760,info@texascivilrightsproject.org,,,Litigation / Legal Defense,Organizing & Advocacy,,,,,Civil and Political Rights,Fair Maps Texas,,,,,,
Texas Faith & Freedom Coalition,85-0614367,501(c)(4),,Practitioner Organization,Chapter,Faith and Freedom Coalition,https://www.texasffc.com/,"OUR FIVE-FOLD MISSION:

Mobilize and train people of faith to be effective citizens

Speak out in the public arena and in the media on behalf of Christian values

Influence legislation and enact sound public policy at every level of government

Train citizens for effective civic action

Protest bigotry and discrimination against people of faith",,Don  Garner,PO Box 191,Austin,TX,78767,don@texasffc.com,(512) 745-1643,State - single,Advocacy,Faith-Based Efforts,,,,,"Faith-Based Organizing/Engagement/Advocacy,Patriotic Values,Voter Engagement/Registration/Education",,,,,30.2711286,-97.7436995,
