"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"141","BOYS & GIRLS CLUB OF MANHATTAN INC","Manhattan","KS","66502","237358134","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.1836082,-96.5716694
"142","BOYS & GIRLS CLUB OF NORTH LOUISIANA","Ruston","LA","71270","721375839","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",32.5297498,-92.6386604
"143","BOYS & GIRLS CLUB OF NORTHERN PLAINS INC","Brookings","SD","57006","731630215","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",44.311461,-96.79844
"144","BOYS & GIRLS CLUB OF PHARR, INC.","Pharr","TX","78577","752258513","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",26.1947962,-98.1836216
"145","BOYS & GIRLS CLUB OF VALDOSTA INC","Valdosta","GA","31601","237067775","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",30.8327022,-83.2784851
"146","BOYS & GIRLS CLUBS IN INDIAN COUNTRY INC","Atlanta","GA","30309","020656763","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",33.7489924,-84.3902644
"147","BOYS & GIRLS CLUBS OF GREATER MILWAUKEE, INC.","Milwaukee","WI","53212","390806292","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",43.0386475,-87.9090751
"148","BOYS & GIRLS CLUBS OF PALM BEACH COUNTY INC","West Palm Beach","FL","33407","237060561","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",26.715364,-80.0532942
"149","BOYS AND GIRLS CLUB OF MARTIN COUNTY, INC","Hobe Sound","FL","33455","650253002","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",27.080492,-80.1399179962786
"150","BOYS AND GIRLS CLUBS OF ACADIANA, INC.","Lafayette","LA","70503","720940072","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",30.2262187,-92.0178202
"151","BOYS GIRLS ADULT COMMUNITY CENTER","Marvell","AR","72366","710540330","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",34.5561645,-90.9114996
"152","BOYS' AND GIRLS' CLUB OF LAWRENCE, LAWRENCE, KANSAS","Lawrence","KS","66046","237296824","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.9719137,-95.2359403
"153","BPE, Inc.","Boston","MA","02119","813213571","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.3554334,-71.060511
"154","BRANCHES, INC.","Miami","FL","33168","650716969","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",25.7741728,-80.19362
"155","BREAKTHROUGH MIAMI, INC","Miami","FL","33129","262105534","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",25.7741728,-80.19362
"156","BROTHERS REDEVELOPMENT, INC.","Edgewater","CO","80214","840615347","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",39.7457238,-105.0621833
"157","BROWARD COLLEGE","Fort Lauderdale","FL","33301","591216107","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",26.1223084,-80.1433786
"158","BUTLER COUNTY","El Dorado","KS","67042","486035405","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures; Veterans and Military Families",37.81724,-96.8622524
"159","Backroads of Appalachia, Inc.","Lynch","KY","40855","844276436","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",36.9662044,-82.922384
"160","Baldwin Wallace University","Berea","OH","44017","134071462","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",41.3661614,-81.8543026
"161","Baltimore City Department of Public Works","Baltimore","MD","21202","526000769","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship",39.2908816,-76.610759
"162","Baltimore Corps, Inc.","Baltimore","MD","21215","364913965","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.2908816,-76.610759
"163","Baltimore Crisis Response Inc","Baltimore","MD","21229","521799922","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",39.2908816,-76.610759
"164","Bank Street Food Bank, Inc.","Louisville","KY","40212","861305334","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",38.2542376,-85.759407
"165","Barnstable, County of","Barnstable","MA","02630","046001419","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Environmental Stewardship",41.7004049,-70.3001922
"166","Barton County Community College","Great Bend","KS","67530","480720175","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.3625063,-98.7804087
"167","Bay Aging","Urbanna","VA","23175","541085032","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",37.636275,-76.5754321
"168","Baylor University","Waco","TX","76706","741159753","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",31.5491899,-97.1474628
"169","Beaufort County Association for the Blind and Visually Impaired, INC.","Washington","NC","27889","581882851","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Healthy Futures",35.5493702,-77.0535574
"170","Benjamin Rose Institute","Cleveland","OH","44120","340714482","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",41.4996574,-81.6936772
"171","Bernalillo, Town of","Bernalillo","NM","87004","856000600","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",35.3009305,-106.551425
"172","Bethany Christian Services","Grand Rapids","MI","49503","381405282","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",42.9632425,-85.6678639
"173","Better Community Development Inc","Little Rock","AR","72204","581807967","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",34.7465071,-92.2896267
"174","Bi-County Service, Inc.","Higginsville","MO","64037","431345848","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.0752352,-93.7172567
"175","Big Brothers Big Sisters of America Corporation","Tampa","FL","33607","231365190","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",27.9477595,-82.458444
"176","Big Brothers Big Sisters of Connecticut, Inc.","Hartford","CT","06106","060850379","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",41.764582,-72.6908547
"177","Big Brothers Big Sisters of Western North Carolina","Asheville","NC","28801","581505917","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.595363,-82.5508407
"178","Big Brothers/Big Sisters Of Tampa Bay, Inc.","Largo","FL","33770","592173085","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",27.9094665,-82.7873244
"179","Big Sky Youth Empowerment Project, Inc.","Bozeman","MT","59715","810543203","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",45.6794293,-111.044047
"180","Billings Metro VISTA Project","Billings","MT","59101","816001237","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",45.7874957,-108.49607
"181","Black River United Way","Georgetown","SC","29440","570526145","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",33.376834,-79.2944965
"182","Blackstone Valley Community Action Program Inc","Pawtucket","RI","02860","050312991","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",41.8789531,-71.3821203
"183","Blount County Community Action Agency, Inc.","Maryville","TN","37803","621561673","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",35.7564719,-83.9704593
"184","Blue Lake Rancheria","Blue Lake","CA","95525","680078113","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.882907,-123.983949
"185","Blue Ridge Community Action, Inc.","Morganton","NC","28655","560855390","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",35.7454291,-81.6870837
"186","Blue Ridge Medical Center INC","Arrington","VA","22922","541222147","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",37.6840306,-78.9011326
"187","Blue Valley Community Action Inc.","Fairbury","NE","68352","470492640","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.137225,-97.180591
"188","Blueprint Schools Network, Inc.","Needham","MA","02494","274199289","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.2802645,-71.2360624
"189","Board Of Regents Of The University of Nebraska","Lincoln","NE","68503","470049123","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",40.8088861,-96.7077751
"190","Board of Education City of Chicago","Chicago","IL","60602","366005821","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.8755616,-87.6244212
"191","Board of Regents Southwestern Indian Polytechnic Institute","Albuquerque","NM","87120","850235298","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",35.0841034,-106.650985
"192","Board of Trustees of Community College District NO. 508","Chicago","IL","60601","362606236","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",41.8755616,-87.6244212
"193","Boat People S.O.S., INC.","Falls Church","VA","22041","541563619","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.882334,-77.1710914
"194","Books And Breakfast","Evanston","IL","60201","463717739","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.0470043,-87.6846053
"195","Boone County Hospital","Boone","IA","50036","426037625","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Economic Opportunity; Education; Healthy Futures",42.0596994,-93.8802202
"196","Boston Health Care for the Homeless Program, Inc., The","Boston","MA","02118","043160480","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.3554334,-71.060511
"197","Boston Local Development Corporation","Boston","MA","02210","042681311","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",42.3554334,-71.060511
"198","Boulder County RSVP Board, Inc.","Boulder","CO","80301","840769724","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures; Veterans and Military Families",40.0149856,-105.270545
"199","Boys & Girls Club of Greater Flint","Flint","MI","48506","383381808","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",43.0161693,-83.6900211
"200","Boys & Girls Club of Livingston County","Pontiac","IL","61764","370975574","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",40.8808666,-88.6297839
"201","Boys & Girls Club of Metro South","Taunton","MA","02780","222963214","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",41.9019257,-71.0931485
